DISTRICT,SchoolName,district_schoolname,tested or not?,not found in testing data list,count of schools
Fresno Unified,School of Unlimited Learning,Fresno Unified_School of Unlimited Learning,tested,FALSE,1
Washington Unified,West Fresno Elementary,Washington Unified_West Fresno Elementary,tested,FALSE,1
Central Unified,Teague Elementary,Central Unified_Teague Elementary,tested,FALSE,1
Washington Unified,West Fresno Middle,Washington Unified_West Fresno Middle,tested,FALSE,1
Central Unified,James K. Polk Elementary,Central Unified_James K. Polk Elementary,tested,FALSE,1
Central Unified,Harvest Elementary,Central Unified_Harvest Elementary,tested,FALSE,2
Central Unified,Glacier Point Middle,Central Unified_Glacier Point Middle,tested,FALSE,1
Central Unified,Herndon-Barstow Elementary,Central Unified_Herndon-Barstow Elementary,tested,FALSE,1
Central Unified,Norman Liddell Elementary,Central Unified_Norman Liddell Elementary,tested,FALSE,1
Central Unified,Central High East Campus,Central Unified_Central High East Campus,tested,FALSE,1
Central Unified,Pathway Elementary Community Day,Central Unified_Pathway Elementary Community Day,tested,FALSE,1
Central Unified,Pathway Community Day,Central Unified_Pathway Community Day,tested,FALSE,1
Central Unified,Pershing Continuation High,Central Unified_Pershing Continuation High,tested,FALSE,1
Central Unified,William Saroyan Elementary,Central Unified_William Saroyan Elementary,tested,FALSE,1
Central Unified,River Bluff Elementary,Central Unified_River Bluff Elementary,tested,FALSE,1
Central Unified,John Steinbeck Elementary,Central Unified_John Steinbeck Elementary,tested,FALSE,1
Central Unified,Hanh Phan Tilley Elementary,Central Unified_Hanh Phan Tilley Elementary,tested,FALSE,1
Central Unified,McKinley Elementary,Central Unified_McKinley Elementary,tested,FALSE,18
Central Unified,El Capitan Middle,Central Unified_El Capitan Middle,tested,FALSE,1
Central Unified,Central Unified Alternative/Opportunity,Central Unified_Central Unified Alternative/Opportunity,tested,FALSE,1
Central Unified,Rio Vista Middle,Central Unified_Rio Vista Middle,tested,FALSE,2
Fresno Unified,Sierra Charter,Fresno Unified_Sierra Charter,tested,FALSE,1
Clovis Unified,Clovis West High,Clovis Unified_Clovis West High,tested,FALSE,1
Clovis Unified,Fancher Creek Elementary,Clovis Unified_Fancher Creek Elementary,tested,FALSE,1
Clovis Unified,Granite Ridge Intermediate,Clovis Unified_Granite Ridge Intermediate,tested,FALSE,1
Clovis Unified,Mountain View Elementary,Clovis Unified_Mountain View Elementary,tested,FALSE,8
Clovis Unified,Roger S. Oraze Elementary,Clovis Unified_Roger S. Oraze Elementary,tested,FALSE,1
Clovis Unified,Temperance-Kutner Elementary,Clovis Unified_Temperance-Kutner Elementary,tested,FALSE,1
Clovis Unified School District,Virginia R. Borris Elementary,Clovis Unified School District_Virginia R. Borris Elementary,tested,FALSE,1
Fresno Unified,Addams Elementary,Fresno Unified_Addams Elementary,tested,FALSE,2
Fresno Unified,Ahwahnee Middle,Fresno Unified_Ahwahnee Middle,tested,FALSE,1
Fresno Unified,Akira Yokomi Elementary,Fresno Unified_Akira Yokomi Elementary,tested,FALSE,1
Fresno Unified,Ayer Elementary,Fresno Unified_Ayer Elementary,tested,FALSE,1
Fresno Unified,Aynesworth Elementary,Fresno Unified_Aynesworth Elementary,tested,FALSE,1
Fresno Unified,Baird Middle,Fresno Unified_Baird Middle,tested,FALSE,1
Fresno Unified,Bullard High,Fresno Unified_Bullard High,tested,FALSE,1
Fresno Unified,Burroughs Elementary,Fresno Unified_Burroughs Elementary,tested,FALSE,1
Fresno Unified,Edison Computech,Fresno Unified_Edison Computech,tested,FALSE,1
Fresno Unified,King Elementary,Fresno Unified_King Elementary,tested,FALSE,3
Fresno Unified,Calwa Elementary,Fresno Unified_Calwa Elementary,tested,FALSE,1
Fresno Unified,Elizabeth Terronez Middle,Fresno Unified_Elizabeth Terronez Middle,tested,FALSE,1
Fresno Unified,Sunnyside High,Fresno Unified_Sunnyside High,tested,FALSE,1
Fresno Unified,Cambridge Continuation High,Fresno Unified_Cambridge Continuation High,tested,FALSE,1
Fresno Unified,Phoenix Secondary,Fresno Unified_Phoenix Secondary,tested,FALSE,1
Fresno Unified,Ezekiel Balderas Elementary,Fresno Unified_Ezekiel Balderas Elementary,tested,FALSE,1
Fresno Unified,Roosevelt High,Fresno Unified_Roosevelt High,tested,FALSE,1
Fresno Unified,Rowell Elementary,Fresno Unified_Rowell Elementary,tested,FALSE,1
Fresno Unified,Fremont Elementary,Fresno Unified_Fremont Elementary,tested,FALSE,9
Fresno Unified,Fresno High,Fresno Unified_Fresno High,tested,FALSE,1
Fresno Unified,Dewolf Continuation High,Fresno Unified_Dewolf Continuation High,tested,FALSE,1
Fresno Unified,Cooper Middle,Fresno Unified_Cooper Middle,tested,FALSE,1
Fresno Unified,Deborah A. Williams Elementary,Fresno Unified_Deborah A. Williams Elementary,tested,FALSE,1
Fresno Unified,Erma Duncan Polytechnical High,Fresno Unified_Erma Duncan Polytechnical High,tested,FALSE,1
Fresno Unified,Fort Miller Middle,Fresno Unified_Fort Miller Middle,tested,FALSE,1
Fresno Unified,Malloch Elementary,Fresno Unified_Malloch Elementary,tested,FALSE,1
Fresno Unified,Rutherford B. Gaston Sr. Middle,Fresno Unified_Rutherford B. Gaston Sr. Middle,tested,FALSE,1
Fresno Unified,Scandinavian Middle,Fresno Unified_Scandinavian Middle,tested,FALSE,1
Fresno Unified,Phillip J Patino School of Entrepreneurship,Fresno Unified_Phillip J Patino School of Entrepreneurship,tested,FALSE,1
Fresno Unified,Yosemite Middle,Fresno Unified_Yosemite Middle,tested,FALSE,1
Fresno Unified,Vinland Elementary,Fresno Unified_Vinland Elementary,tested,FALSE,1
Fresno Unified,Thomas Elementary,Fresno Unified_Thomas Elementary,tested,FALSE,1
Fresno Unified,Tioga Middle,Fresno Unified_Tioga Middle,tested,FALSE,1
Fresno Unified,Del Mar Elementary,Fresno Unified_Del Mar Elementary,tested,FALSE,3
Fresno Unified,Powers-Ginsburg Elementary,Fresno Unified_Powers-Ginsburg Elementary,tested,FALSE,1
Fresno Unified,Tenaya Middle,Fresno Unified_Tenaya Middle,tested,FALSE,2
Fresno Unified,Eaton Elementary,Fresno Unified_Eaton Elementary,tested,FALSE,1
Fresno Unified,Herbert Hoover High,Fresno Unified_Herbert Hoover High,tested,FALSE,2
Fresno County Office of Education,Beth Ramacher Educational Complex,Fresno County Office of Education_Beth Ramacher Educational Complex,tested,FALSE,1
Fresno Unified,McLane High,Fresno Unified_McLane High,tested,FALSE,1
Fresno Unified,Kirk Elementary,Fresno Unified_Kirk Elementary,tested,FALSE,1
Fresno Unified,Manchester Gate,Fresno Unified_Manchester Gate,tested,FALSE,1
Fresno Unified,Mario G. Olmos Elementary,Fresno Unified_Mario G. Olmos Elementary,tested,FALSE,1
Fresno Unified,Mayfair Elementary,Fresno Unified_Mayfair Elementary,tested,FALSE,1
Fresno Unified,McCardle Elementary,Fresno Unified_McCardle Elementary,tested,FALSE,1
Fresno Unified,Morris E. Dailey Charter Elementary,Fresno Unified_Morris E. Dailey Charter Elementary,tested,FALSE,1
Fresno Unified,Muir Elementary,Fresno Unified_Muir Elementary,tested,FALSE,1
Fresno Unified,Norseman Elementary,Fresno Unified_Norseman Elementary,tested,FALSE,1
Fresno Unified School District,Nutrition Center,Fresno Unified School District_Nutrition Center,tested,FALSE,1
Fresno Unified,Phoenix Elementary Academy Community Day,Fresno Unified_Phoenix Elementary Academy Community Day,tested,FALSE,1
Fresno Unified,Pyle Elementary,Fresno Unified_Pyle Elementary,tested,FALSE,1
Fresno Unified,Robinson Elementary,Fresno Unified_Robinson Elementary,tested,FALSE,1
Fresno Unified,Roeding Elementary,Fresno Unified_Roeding Elementary,tested,FALSE,1
Fresno Unified,Slater Elementary,Fresno Unified_Slater Elementary,tested,FALSE,1
Fresno Unified,Starr Elementary,Fresno Unified_Starr Elementary,tested,FALSE,1
Fresno Unified,Tehipite Middle,Fresno Unified_Tehipite Middle,tested,FALSE,1
Fresno Unified,Vang Pao Elementary,Fresno Unified_Vang Pao Elementary,tested,FALSE,1
Fresno Unified,Viking Elementary,Fresno Unified_Viking Elementary,tested,FALSE,1
Fresno Unified,Wawona Middle,Fresno Unified_Wawona Middle,tested,FALSE,1
Fresno Unified,Wilson Elementary,Fresno Unified_Wilson Elementary,tested,FALSE,15
Fresno Unified,Winchell Elementary,Fresno Unified_Winchell Elementary,tested,FALSE,1
Fresno Unified,Wishon Elementary,Fresno Unified_Wishon Elementary,tested,FALSE,1
Fresno Unified,Wolters Elementary,Fresno Unified_Wolters Elementary,tested,FALSE,1
Washington Unified,W. E. B. DuBois Public Charter,Washington Unified_W. E. B. DuBois Public Charter,tested,FALSE,1
Washington Unified, W. E. B. DuBois Public Charter Satellite Campus,Washington Unified_W. E. B. DuBois Public Charter Satellite Campus,tested,FALSE,1
Fresno Unified,Carter G. Woodson Public Charter,Fresno Unified_Carter G. Woodson Public Charter,tested,FALSE,1
Fresno Unified,Aspen Valley Prep Academy,Fresno Unified_Aspen Valley Prep Academy,tested,FALSE,1
Fresno Unified School District,Carter G. Woodson Public Charter Satellite Campus,Fresno Unified School District_Carter G. Woodson Public Charter Satellite Campus,tested,FALSE,1
Fresno Economic Opportunities Commission,Ramacher Head Start,Fresno Economic Opportunities Commission_Ramacher Head Start,tested,FALSE,1
Fresno Unified,Ewing Elementary,Fresno Unified_Ewing Elementary,tested,FALSE,1
Fresno Unified,David L. Greenberg Elementary,Fresno Unified_David L. Greenberg Elementary,tested,FALSE,1
Fresno Unified,Ericson Elementary,Fresno Unified_Ericson Elementary,tested,FALSE,2
Fresno Unified,Kings Canyon Middle,Fresno Unified_Kings Canyon Middle,tested,FALSE,1
Fresno Unified,Heaton Elementary,Fresno Unified_Heaton Elementary,tested,FALSE,1
State Center Community College District,Fresno City College Child Development Center,State Center Community College District_Fresno City College Child Development Center,tested,FALSE,1
State Center Community College District,Clovis Community College Child Development Center Lab School,State Center Community College District_Clovis Community College Child Development Center Lab School,tested,FALSE,1
Fresno Unified,Homan Elementary,Fresno Unified_Homan Elementary,tested,FALSE,1
Fresno Unified,Centennial Elementary,Fresno Unified_Centennial Elementary,tested,FALSE,2
Fresno Unified,Bullard Talent Project,Fresno Unified_Bullard Talent Project,tested,FALSE,1
Clovis Unified,Clovis North High,Clovis Unified_Clovis North High,tested,FALSE,1
Fresno Unified,Gibson Elementary,Fresno Unified_Gibson Elementary,tested,FALSE,2
Fresno Unified,Figarden Elementary,Fresno Unified_Figarden Elementary,tested,FALSE,1
Fresno Unified,Holland Elementary,Fresno Unified_Holland Elementary,tested,FALSE,1
Fresno Unified,Edison High,Fresno Unified_Edison High,tested,FALSE,3
Fresno Unified,Edith B. Storey Elementary,Fresno Unified_Edith B. Storey Elementary,tested,FALSE,1
Fresno Unified,Design Science Early College High,Fresno Unified_Design Science Early College High,tested,FALSE,1
Fresno Unified,Forkner Elementary,Fresno Unified_Forkner Elementary,tested,FALSE,1
Clovis Unified,Maple Creek Elementary,Clovis Unified_Maple Creek Elementary,tested,FALSE,1
Fresno Unified,Irwin O. Addicott Elementary,Fresno Unified_Irwin O. Addicott Elementary,tested,FALSE,1
Fresno Unified,Lawless Elementary,Fresno Unified_Lawless Elementary,tested,FALSE,1
Clovis Unified,Kastner Intermediate,Clovis Unified_Kastner Intermediate,tested,FALSE,1
Fresno County Office of Education,Career Technical Education Charter High School at Kermit Kootz Education Complex,Fresno County Office of Education_Career Technical Education Charter High School at Kermit Kootz Education Complex,tested,FALSE,1
Fresno Unified,Florence E. Rata,Fresno Unified_Florence E. Rata,tested,FALSE,1
Fresno Unified,Fulton Special Education,Fresno Unified_Fulton Special Education,tested,FALSE,1
Fresno Unified,J. E. Young Academic Center,Fresno Unified_J. E. Young Academic Center,tested,FALSE,1
Orange Center,Orange Center Elementary,Orange Center_Orange Center Elementary,tested,FALSE,1
Fresno County Office of Education,Hume Lake Charter,Fresno County Office of Education_Hume Lake Charter,tested,FALSE,1
Kerman Unified,Enterprise High,Kerman Unified_Enterprise High,tested,FALSE,2
Kerman Unified,Goldenrod Elementary,Kerman Unified_Goldenrod Elementary,tested,FALSE,1
,Kerman Christian School,_Kerman Christian School,#N/A,FALSE,1
Kerman Unified,Kerman High,Kerman Unified_Kerman High,tested,FALSE,1
Kerman Unified,Kerman Middle,Kerman Unified_Kerman Middle,tested,FALSE,1
Kerman Unified,Kerman-Floyd Elementary,Kerman Unified_Kerman-Floyd Elementary,tested,FALSE,1
Kerman Unified,Liberty Elementary,Kerman Unified_Liberty Elementary,tested,FALSE,6
Kingsburg Joint Union High,Kingsburg High,Kingsburg Joint Union High_Kingsburg High,tested,FALSE,1
Kingsburg Joint Union High,Oasis Continuation High,Kingsburg Joint Union High_Oasis Continuation High,tested,FALSE,1
Mendota Unified,McCabe Elementary,Mendota Unified_McCabe Elementary,tested,FALSE,1
Mendota Unified,Mendota High,Mendota Unified_Mendota High,tested,FALSE,1
Kings Canyon Joint Unified,A. L. Conner Elementary,Kings Canyon Joint Unified_A. L. Conner Elementary,tested,FALSE,1
Kings Canyon Joint Unified,Citrus Middle,Kings Canyon Joint Unified_Citrus Middle,tested,FALSE,1
Kings Canyon Joint Unified,McCord Elementary,Kings Canyon Joint Unified_McCord Elementary,tested,FALSE,1
Kings Canyon Joint Unified,Orange Cove High,Kings Canyon Joint Unified_Orange Cove High,tested,FALSE,1
Kings Canyon Joint Unified,Sheridan Elementary,Kings Canyon Joint Unified_Sheridan Elementary,tested,FALSE,2
Selma Unified,Abraham Lincoln Middle,Selma Unified_Abraham Lincoln Middle,tested,FALSE,1
Selma Unified,Andrew Jackson Elementary,Selma Unified_Andrew Jackson Elementary,tested,FALSE,3
Selma Unified,Eric White Elementary,Selma Unified_Eric White Elementary,tested,FALSE,1
Selma Unified,George Washington Elementary,Selma Unified_George Washington Elementary,not tested,FALSE,7
Selma Unified,Heartland High (Continuation),Selma Unified_Heartland High (Continuation),tested,FALSE,1
Selma Unified,James Garfield Elementary,Selma Unified_James Garfield Elementary,tested,FALSE,1
Selma Unified,Selma High,Selma Unified_Selma High,tested,FALSE,1
Selma Unified,Theodore Roosevelt Elementary,Selma Unified_Theodore Roosevelt Elementary,tested,FALSE,4
Selma Unified,Woodrow Wilson Elementary,Selma Unified_Woodrow Wilson Elementary,tested,FALSE,4
Parlier Unified,Cesar E Chavez Elementary,Parlier Unified_Cesar E Chavez Elementary,tested,FALSE,1
Parlier Unified,John C Martinez Elementary,Parlier Unified_John C Martinez Elementary,tested,FALSE,1
Parlier Unified,Mathew J Brletic Elementary,Parlier Unified_Mathew J Brletic Elementary,tested,FALSE,1
Parlier Unified,Parlier Junior High,Parlier Unified_Parlier Junior High,tested,FALSE,1
Parlier Unified,S Ben Benavidez Elementary,Parlier Unified_S Ben Benavidez Elementary,tested,FALSE,1
Parlier Unified,San Joaquin Valley High,Parlier Unified_San Joaquin Valley High,tested,FALSE,1
Kings Canyon Joint Unified,General Grant Middle,Kings Canyon Joint Unified_General Grant Middle,tested,FALSE,1
Fresno County Office of Education,Monte Vista School,Fresno County Office of Education_Monte Vista School,tested,FALSE,1
Kings Canyon Joint Unified,KC KIDS Pre-School,Kings Canyon Joint Unified_KC KIDS Pre-School,tested,FALSE,1
Kings Canyon Joint Unified,Mountain View (Alternative),Kings Canyon Joint Unified_Mountain View (Alternative),tested,FALSE,1
Kings Canyon Joint Unified,Reedley High,Kings Canyon Joint Unified_Reedley High,tested,FALSE,1
Kings Canyon Joint Unified,Silas Bartsch,Kings Canyon Joint Unified_Silas Bartsch,tested,FALSE,1
Kings Canyon Joint Unified,Thomas Law Reed Elementary,Kings Canyon Joint Unified_Thomas Law Reed Elementary,tested,FALSE,1
Kings Canyon Joint Unified,Washington Elementary,Kings Canyon Joint Unified_Washington Elementary,tested,FALSE,23
KCUSD,Jefferson Preschool,KCUSD_Jefferson Preschool,tested,FALSE,1
Sanger Unified,Ronald W. Reagan Elementary,Sanger Unified_Ronald W. Reagan Elementary,tested,FALSE,1
Sanger Unified,Hallmark Charter,Sanger Unified_Hallmark Charter,tested,FALSE,1
Sanger Unified,Kings River High (Continuation),Sanger Unified_Kings River High (Continuation),tested,FALSE,1
Sanger Unified,Community Day,Sanger Unified_Community Day,tested,FALSE,2
Sanger Unified,Madison Elementary,Sanger Unified_Madison Elementary,tested,FALSE,10
Sanger Unified,Lincoln Elementary,Sanger Unified_Lincoln Elementary,tested,FALSE,25
Sanger Unified,Jefferson Elementary,Sanger Unified_Jefferson Elementary,tested,FALSE,22
Sanger Unified,Sanger Academy Charter,Sanger Unified_Sanger Academy Charter,tested,FALSE,1
Sanger Unified,Jackson Elementary,Sanger Unified_Jackson Elementary,tested,FALSE,5
Sanger Unified,Sanger High,Sanger Unified_Sanger High,tested,FALSE,1
Sanger Unified,Washington Academic Middle,Sanger Unified_Washington Academic Middle,tested,FALSE,1
Golden Plains Unified,San Joaquin Elementary,Golden Plains Unified_San Joaquin Elementary,tested,FALSE,3
Sanger Unified,Del Rey Elementary,Sanger Unified_Del Rey Elementary,not tested,FALSE,5
Caruthers Unified,Caruthers Elementary,Caruthers Unified_Caruthers Elementary,tested,FALSE,1
Caruthers Unified,Caruthers High,Caruthers Unified_Caruthers High,tested,FALSE,1
Caruthers Unified,MARC High,Caruthers Unified_MARC High,tested,FALSE,1
Coalinga-Huron Unified,Huron Elementary,Coalinga-Huron Unified_Huron Elementary,tested,FALSE,1
Coalinga-Huron Unified,Huron Middle,Coalinga-Huron Unified_Huron Middle,tested,FALSE,1
Coalinga-Huron School District,Chestnut High (Continuation) School,Coalinga-Huron School District_Chestnut High (Continuation) School,tested,FALSE,1
Sanger Unified,Quail Lake Environmental Charter,Sanger Unified_Quail Lake Environmental Charter,tested,FALSE,1
Stony Creek Joint Unified,Elk Creek Junior-Senior High,Stony Creek Joint Unified_Elk Creek Junior-Senior High,tested,FALSE,1
Stony Creek Joint Unified,Elk Creek Elementary,Stony Creek Joint Unified_Elk Creek Elementary,tested,FALSE,1
Orland Joint Unified,Mill Street Elementary,Orland Joint Unified_Mill Street Elementary,tested,FALSE,1
Orland Joint Unified,Fairview Elementary,Orland Joint Unified_Fairview Elementary,not tested,FALSE,6
Orland Joint Unified,Price Intermediate,Orland Joint Unified_Price Intermediate,tested,FALSE,1
Orland Joint Unified,Orland High,Orland Joint Unified_Orland High,tested,FALSE,1
Orland Joint Unified,North Valley High (Continuation),Orland Joint Unified_North Valley High (Continuation),tested,FALSE,1
Hamilton Unified,Ella Barkley High,Hamilton Unified_Ella Barkley High,tested,FALSE,1
Hamilton Unified,Hamilton Community Day,Hamilton Unified_Hamilton Community Day,tested,FALSE,1
Hamilton Unified,Hamilton Elementary,Hamilton Unified_Hamilton Elementary,tested,FALSE,5
Hamilton Unified,Hamilton High,Hamilton Unified_Hamilton High,tested,FALSE,1
Willows Unified,Willows Community High,Willows Unified_Willows Community High,tested,FALSE,1
Willows Unified,Willows High,Willows Unified_Willows High,tested,FALSE,1
Willows Unified,Willows Intermediate,Willows Unified_Willows Intermediate,tested,FALSE,1
Willows Unified,Murdock Elementary,Willows Unified_Murdock Elementary,tested,FALSE,2
Glenn County Office of Education,Walden Academy,Glenn County Office of Education_Walden Academy,tested,FALSE,1
Big Lagoon Union Elementary,Big Lagoon Elementary,Big Lagoon Union Elementary_Big Lagoon Elementary,tested,FALSE,1
Arcata Elementary,Sunny Brae Middle,Arcata Elementary_Sunny Brae Middle,tested,FALSE,1
Arcata Elementary,Arcata Elementary,Arcata Elementary_Arcata Elementary,tested,FALSE,1
Arcata Elementary,Coastal Grove Charter,Arcata Elementary_Coastal Grove Charter,tested,FALSE,1
Arcata Elementary,Union Street Charter,Arcata Elementary_Union Street Charter,tested,FALSE,1
Pacific Union Elementary,Trillium Charter,Pacific Union Elementary_Trillium Charter,tested,FALSE,1
Northern Humboldt Union High,Arcata High,Northern Humboldt Union High_Arcata High,tested,FALSE,1
Northern Humboldt Union High,Pacific Coast High (Continuation),Northern Humboldt Union High_Pacific Coast High (Continuation),tested,FALSE,1
Humboldt County Office of Education,Northcoast Performing Arts and Preparatory Academy Middle,Humboldt County Office of Education_Northcoast Performing Arts and Preparatory Academy Middle,tested,FALSE,1
Northern Humboldt Union High,Six Rivers Charter High,Northern Humboldt Union High_Six Rivers Charter High,tested,FALSE,1
Northern Humboldt Union High,Laurel Tree Charter,Northern Humboldt Union High_Laurel Tree Charter,tested,FALSE,1
Arcata Elementary,Fuente Nueva Charter,Arcata Elementary_Fuente Nueva Charter,tested,FALSE,1
Pacific Union Elementary,Pacific Union Elementary,Pacific Union Elementary_Pacific Union Elementary,tested,FALSE,1
,Arcata Christian,_Arcata Christian,#N/A,FALSE,1
,Six Rivers Montessori,_Six Rivers Montessori,#N/A,FALSE,1
Humboldt County Office of Education,Northern United Charter School Arcata Learning Center,Humboldt County Office of Education_Northern United Charter School Arcata Learning Center,tested,FALSE,1
Humboldt County Office of Education,Northcoast Preparatory and Performing Arts Academy,Humboldt County Office of Education_Northcoast Preparatory and Performing Arts Academy,tested,FALSE,1
Blue Lake Union Elementary,Blue Lake Elementary,Blue Lake Union Elementary_Blue Lake Elementary,tested,FALSE,1
Eureka City Schools,Catherine L. Zane Middle,Eureka City Schools_Catherine L. Zane Middle,tested,FALSE,1
Eureka City Schools,Eureka Senior High,Eureka City Schools_Eureka Senior High,tested,FALSE,1
Eureka City Schools,Zoe Barnum High,Eureka City Schools_Zoe Barnum High,tested,FALSE,1
Fortuna Elementary,South Fortuna Elementary,Fortuna Elementary_South Fortuna Elementary,tested,FALSE,1
Fortuna Elementary,Toddy Thomas Elementary,Fortuna Elementary_Toddy Thomas Elementary,tested,FALSE,1
Fortuna Elementary,Norman G. Ambrosini Elementary,Fortuna Elementary_Norman G. Ambrosini Elementary,tested,FALSE,1
Ferndale Unified,Ferndale Elementary,Ferndale Unified_Ferndale Elementary,tested,FALSE,1
Ferndale Unified,Ferndale High,Ferndale Unified_Ferndale High,tested,FALSE,1
Eureka City Schools,Lafayette Elementary,Eureka City Schools_Lafayette Elementary,tested,FALSE,5
Eureka City Schools,Winship Middle,Eureka City Schools_Winship Middle,tested,FALSE,1
Cutten Elementary,Cutten Elementary,Cutten Elementary_Cutten Elementary,tested,FALSE,1
Cutten Elementary,Ridgewood Elementary,Cutten Elementary_Ridgewood Elementary,tested,FALSE,1
Freshwater Elementary,Freshwater Charter Middle,Freshwater Elementary_Freshwater Charter Middle,tested,FALSE,1
Freshwater Elementary,Freshwater Elementary,Freshwater Elementary_Freshwater Elementary,tested,FALSE,1
South Bay Union Elementary,South Bay Elementary,South Bay Union Elementary_South Bay Elementary,tested,FALSE,1
South Bay Union Elementary,Pine Hill Elementary,South Bay Union Elementary_Pine Hill Elementary,tested,FALSE,1
Scotia Union School District,Scotia Union School District,Scotia Union School District_Scotia Union School District,tested,FALSE,1
Southern Humboldt Joint Unified,Redway Elementary,Southern Humboldt Joint Unified_Redway Elementary,tested,FALSE,1
Peninsula Union,Peninsula Union Elementary,Peninsula Union_Peninsula Union Elementary,tested,FALSE,1
Klamath-Trinity Joint Unified,Trinity Valley Elementary,Klamath-Trinity Joint Unified_Trinity Valley Elementary,tested,FALSE,1
Northern Humboldt Union High,McKinleyville High,Northern Humboldt Union High_McKinleyville High,tested,FALSE,1
McKinleyville Union Elementary,McKinleyville Middle,McKinleyville Union Elementary_McKinleyville Middle,tested,FALSE,1
McKinleyville Union Elementary,Dow's Prairie Elementary,McKinleyville Union Elementary_Dow's Prairie Elementary,tested,FALSE,1
McKinleyville Union Elementary,Morris Elementary,McKinleyville Union Elementary_Morris Elementary,tested,FALSE,1
Arcata Elementary,Redwood Coast Montessori,Arcata Elementary_Redwood Coast Montessori,tested,FALSE,1
Trinidad Union Elementary,Trinidad Elementary,Trinidad Union Elementary_Trinidad Elementary,tested,FALSE,1
Hydesville Elementary,Hydesville Elementary,Hydesville Elementary_Hydesville Elementary,tested,FALSE,1
Fieldbrook Elementary,Fieldbrook Elementary,Fieldbrook Elementary_Fieldbrook Elementary,tested,FALSE,1
Jacoby Creek Elementary,Jacoby Creek,Jacoby Creek Elementary_Jacoby Creek,tested,FALSE,1
Loleta Union Elementary,Loleta Elementary,Loleta Union Elementary_Loleta Elementary,tested,FALSE,1
Calexico Unified,Dool Elementary,Calexico Unified_Dool Elementary,tested,FALSE,1
Calexico Unified,Rockwood Elementary,Calexico Unified_Rockwood Elementary,tested,FALSE,1
Calexico Unified,Kennedy Gardens Elementary,Calexico Unified_Kennedy Gardens Elementary,tested,FALSE,1
Calexico Unified,Jefferson Elementary,Calexico Unified_Jefferson Elementary,tested,FALSE,22
Calexico Unified,Enrique Camarena Jr. High,Calexico Unified_Enrique Camarena Jr. High,tested,FALSE,1
Calexico Unified,Mains Elementary,Calexico Unified_Mains Elementary,tested,FALSE,1
Calexico Unified,Aurora High (Continuation),Calexico Unified_Aurora High (Continuation),tested,FALSE,1
Calexico Unified,William Moreno Junior High,Calexico Unified_William Moreno Junior High,tested,FALSE,1
Calexico Unified,Blanche Charles Elementary,Calexico Unified_Blanche Charles Elementary,tested,FALSE,1
Calexico Unified,Calexico High,Calexico Unified_Calexico High,tested,FALSE,1
Calexico Unifed,Calexico High School 9th Grade Campus,Calexico Unifed_Calexico High School 9th Grade Campus,tested,FALSE,1
Calipatria Unified,Fremont Primary,Calipatria Unified_Fremont Primary,tested,FALSE,1
Calipatria Unified,Calipatria High,Calipatria Unified_Calipatria High,tested,FALSE,1
Calipatria Unified,Bill E. Young Jr. Middle,Calipatria Unified_Bill E. Young Jr. Middle,tested,FALSE,1
Calipatria Unified,Grace Smith Elementary,Calipatria Unified_Grace Smith Elementary,tested,FALSE,1
El Centro Elementary,De Anza Magnet,El Centro Elementary_De Anza Magnet,tested,FALSE,1
El Centro Elementary,Desert Garden Elementary,El Centro Elementary_Desert Garden Elementary,tested,FALSE,1
El Centro Elementary,El Centro Elementary School District Office,El Centro Elementary_El Centro Elementary School District Office,tested,FALSE,1
El Centro Elementary,Kennedy Middle,El Centro Elementary_Kennedy Middle,tested,FALSE,1
El Centro Elementary,Sunflower Elementary,El Centro Elementary_Sunflower Elementary,tested,FALSE,1
El Centro Elementary,Washington Elementary,El Centro Elementary_Washington Elementary,tested,FALSE,23
El Centro Elementary,Wilson Jr. High,El Centro Elementary_Wilson Jr. High,tested,FALSE,1
El Centro Elementary,Margaret Hedrick Elementary,El Centro Elementary_Margaret Hedrick Elementary,tested,FALSE,1
Central Union High,Central Union High,Central Union High_Central Union High,tested,FALSE,1
Central Union High,Desert Oasis High (Continuation),Central Union High_Desert Oasis High (Continuation),tested,FALSE,1
Central Union High,Southwest High,Central Union High_Southwest High,tested,FALSE,1
Central Union High,Phoenix Rising High,Central Union High_Phoenix Rising High,tested,FALSE,1
Imperial Unified,Ben Hulse Elementary,Imperial Unified_Ben Hulse Elementary,tested,FALSE,1
Imperial Unified,Frank M. Wright Middle,Imperial Unified_Frank M. Wright Middle,tested,FALSE,1
Imperial Unified,Imperial High,Imperial Unified_Imperial High,tested,FALSE,1
Imperial Unified,T. L. Waggoner Elementary,Imperial Unified_T. L. Waggoner Elementary,tested,FALSE,1
,Faith Academy,_Faith Academy,#N/A,FALSE,1
Imperial Unified,Imperial Ave. Holbrook High,Imperial Unified_Imperial Ave. Holbrook High,tested,FALSE,1
Heber Elementary,Heber Elementary,Heber Elementary_Heber Elementary,tested,FALSE,1
Heber Elementary,Herber Dogwood Elementary,Heber Elementary_Herber Dogwood Elementary,tested,FALSE,1
Westmorland Union Elementary,Westmorland Elementary,Westmorland Union Elementary_Westmorland Elementary,tested,FALSE,1
Coachella Valley Unified,Sea View Elementary,Coachella Valley Unified_Sea View Elementary,tested,FALSE,1
Coachella Valley Unified,West Shores High,Coachella Valley Unified_West Shores High,tested,FALSE,1
